=== LIVE SNAPSHOT #1 | 2026-08-24T16:22:51Z | task=arcane-drift-detection-baselines ===
--- KEY EVENTS (full logs, non-RESMON) ---
--- mem trend (last 6) ---
--- pier tail (last 15, non-RESMON) ---
[MEMLOG 16:20:21] used=1941MB total=15989MB swap_used=0MB
[MEMLOG 16:20:31] used=1929MB total=15989MB swap_used=0MB
[MEMLOG 16:20:41] used=1929MB total=15989MB swap_used=0MB
[MEMLOG 16:20:51] used=1932MB total=15989MB swap_used=0MB
[MEMLOG 16:21:01] used=1937MB total=15989MB swap_used=0MB
[MEMLOG 16:21:11] used=1951MB total=15989MB swap_used=0MB
[MEMLOG 16:21:21] used=1953MB total=15989MB swap_used=0MB
[MEMLOG 16:21:31] used=1955MB total=15989MB swap_used=0MB
[MEMLOG 16:21:41] used=1961MB total=15989MB swap_used=0MB
[MEMLOG 16:21:51] used=1968MB total=15989MB swap_used=0MB
[MEMLOG 16:22:01] used=1951MB total=15989MB swap_used=0MB
[MEMLOG 16:22:11] used=1955MB total=15989MB swap_used=0MB
[MEMLOG 16:22:21] used=1968MB total=15989MB swap_used=0MB
[MEMLOG 16:22:31] used=1933MB total=15989MB swap_used=0MB
[MEMLOG 16:22:41] used=1934MB total=15989MB swap_used=0MB
--- step tail (last 8) ---
